deployment,year,VegHF,SoilHF,VegForDetectionDistance,DeploymentYear
ABMI-1056-NE,2015,CultivationCrop,CultivationCrop,HF,ABMI-1056-NE_2015
ABMI-1056-NW,2015,CultivationCrop,CultivationCrop,HF,ABMI-1056-NW_2015
ABMI-1056-SE,2015,CultivationCrop,CultivationCrop,HF,ABMI-1056-SE_2015
ABMI-1056-SW,2015,GrassHerb,Lo,Grass,ABMI-1056-SW_2015
ABMI-1057-NE,2015,CultivationRoughPasture,CultivationRoughPasture,HF,ABMI-1057-NE_2015
ABMI-1057-NW,2015,CultivationCrop,CultivationCrop,HF,ABMI-1057-NW_2015
ABMI-1057-SE,2015,CultivationRoughPasture,CultivationRoughPasture,HF,ABMI-1057-SE_2015
ABMI-1057-SW,2015,TreedSwamp2,LenW,WetTreed,ABMI-1057-SW_2015
ABMI-1058-NE,2015,CultivationCrop,CultivationCrop,HF,ABMI-1058-NE_2015
ABMI-1058-NW,2015,CultivationCrop,CultivationCrop,HF,ABMI-1058-NW_2015
ABMI-1058-SE,2015,CultivationCrop,CultivationCrop,HF,ABMI-1058-SE_2015
ABMI-1058-SW,2015,RoadVegetatedVerge,RoadVegetatedVerge,HF,ABMI-1058-SW_2015
ABMI-1059-NE,2017,CultivationCrop,CultivationCrop,HF,ABMI-1059-NE_2017
ABMI-1059-NW,2017,Pipeline,Pipeline,HF,ABMI-1059-NW_2017
ABMI-1059-SE,2017,GrassHerb,Lo,Grass,ABMI-1059-SE_2017
ABMI-1059-SW,2017,CultivationCrop,CultivationCrop,HF,ABMI-1059-SW_2017
ABMI-1060-NE,2017,CultivationCrop,CultivationCrop,HF,ABMI-1060-NE_2017
ABMI-1060-NW,2017,CultivationCrop,CultivationCrop,HF,ABMI-1060-NW_2017
ABMI-1060-SE,2017,CultivationCrop,CultivationCrop,HF,ABMI-1060-SE_2017
ABMI-1060-SW,2017,CultivationCrop,CultivationCrop,HF,ABMI-1060-SW_2017
ABMI-1061-NE,2017,CultivationTamePasture,CultivationTamePasture,HF,ABMI-1061-NE_2017
ABMI-1061-NW,2017,CultivationTamePasture,CultivationTamePasture,HF,ABMI-1061-NW_2017
ABMI-1061-SE,2017,WellSite,WellSite,HF,ABMI-1061-SE_2017
ABMI-1061-SW,2017,CultivationTamePasture,CultivationTamePasture,HF,ABMI-1061-SW_2017
ABMI-1062-NE,2018,CultivationRoughPasture,CultivationRoughPasture,HF,ABMI-1062-NE_2018
ABMI-1062-NW,2018,CultivationRoughPasture,CultivationRoughPasture,HF,ABMI-1062-NW_2018
ABMI-1062-SE,2018,Shrub,,Shrub,ABMI-1062-SE_2018
ABMI-1062-SW,2018,Marsh,,WetGrass,ABMI-1062-SW_2018
ABMI-1086-NE,2017,Decid5,Lo,Decid,ABMI-1086-NE_2017
ABMI-1086-NW,2017,Decid5,Lo,Decid,ABMI-1086-NW_2017
ABMI-1086-SE,2017,Decid5,Lo,Decid,ABMI-1086-SE_2017
ABMI-1086-SW,2017,Decid7,Len,Decid,ABMI-1086-SW_2017
ABMI-1088-NE,2017,RoadVegetatedVerge,RoadVegetatedVerge,HF,ABMI-1088-NE_2017
ABMI-1088-NW,2017,RoadVegetatedVerge,RoadVegetatedVerge,HF,ABMI-1088-NW_2017
ABMI-1088-SE,2017,Marsh,BlO,WetGrass,ABMI-1088-SE_2017
ABMI-1088-SW,2017,CultivationCrop,CultivationCrop,HF,ABMI-1088-SW_2017
ABMI-108-NW,2017,Decid5,Lo,Decid,ABMI-108-NW_2017
ABMI-1119-NE,2017,CultivationRoughPasture,CultivationRoughPasture,HF,ABMI-1119-NE_2017
ABMI-1119-NW,2017,Shrub,Lo,Shrub,ABMI-1119-NW_2017
ABMI-1119-SE,2017,Shrub,Lo,Shrub,ABMI-1119-SE_2017
ABMI-1119-SW,2017,CultivationRoughPasture,CultivationRoughPasture,HF,ABMI-1119-SW_2017
ABMI-1120-NE,2017,CultivationCrop,CultivationCrop,HF,ABMI-1120-NE_2017
ABMI-1120-NW,2017,RoadVegetatedVerge,RoadVegetatedVerge,HF,ABMI-1120-NW_2017
ABMI-1120-SE,2017,CultivationCrop,CultivationCrop,HF,ABMI-1120-SE_2017
ABMI-1120-SW,2017,RoadVegetatedVerge,RoadVegetatedVerge,HF,ABMI-1120-SW_2017
ABMI-1121-NE,2017,CultivationCrop,CultivationCrop,HF,ABMI-1121-NE_2017
ABMI-1121-NW,2017,RoadVegetatedVerge,RoadVegetatedVerge,HF,ABMI-1121-NW_2017
ABMI-1121-SE,2017,CultivationCrop,CultivationCrop,HF,ABMI-1121-SE_2017
ABMI-1121-SW,2017,CultivationCrop,CultivationCrop,HF,ABMI-1121-SW_2017
ABMI-1150-NE,2015,CultivationTamePasture,CultivationTamePasture,HF,ABMI-1150-NE_2015
ABMI-1150-NW,2015,CultivationTamePasture,CultivationTamePasture,HF,ABMI-1150-NW_2015
ABMI-1150-SE,2015,CultivationTamePasture,CultivationTamePasture,HF,ABMI-1150-SE_2015
ABMI-1150-SW,2015,CultivationTamePasture,CultivationTamePasture,HF,ABMI-1150-SW_2015
ABMI-1151-NE,2017,RoadVegetatedVerge,RoadVegetatedVerge,HF,ABMI-1151-NE_2017
ABMI-1151-NW,2017,CultivationCrop,CultivationCrop,HF,ABMI-1151-NW_2017
ABMI-1151-SE,2017,RoadVegetatedVerge,RoadVegetatedVerge,HF,ABMI-1151-SE_2017
ABMI-1152-NE,2017,RuralResidentialIndustrial,RuralResidentialIndustrial,HF,ABMI-1152-NE_2017
ABMI-1152-NW,2017,CultivationCrop,CultivationCrop,HF,ABMI-1152-NW_2017
ABMI-1152-SE,2017,CultivationCrop,CultivationCrop,HF,ABMI-1152-SE_2017
ABMI-1152-SW,2017,CultivationCrop,CultivationCrop,HF,ABMI-1152-SW_2017
ABMI-1153-NE,2017,CultivationCrop,CultivationCrop,HF,ABMI-1153-NE_2017
ABMI-1153-NW,2017,RoadVegetatedVerge,RoadVegetatedVerge,HF,ABMI-1153-NW_2017
ABMI-1153-SE,2017,CultivationCrop,CultivationCrop,HF,ABMI-1153-SE_2017
ABMI-1153-SW,2017,RoadVegetatedVerge,RoadVegetatedVerge,HF,ABMI-1153-SW_2017
ABMI-1166-NE,2018,Pine6,,Conif,ABMI-1166-NE_2018
ABMI-1166-NW,2018,Spruce7,,Conif,ABMI-1166-NW_2018
ABMI-1166-SE,2018,Pine6,,Conif,ABMI-1166-SE_2018
ABMI-1166-SW,2018,Spruce8,,Conif,ABMI-1166-SW_2018
ABMI-1167-NE,2018,Spruce4,,Conif,ABMI-1167-NE_2018
ABMI-1167-NW,2018,Spruce8,,Conif,ABMI-1167-NW_2018
ABMI-1167-SE,2018,Spruce4,,Conif,ABMI-1167-SE_2018
ABMI-1167-SW,2018,Spruce8,,Conif,ABMI-1167-SW_2018
ABMI-1178-NE,2017,CultivationTamePasture,CultivationTamePasture,HF,ABMI-1178-NE_2017
ABMI-1178-NW,2017,CultivationTamePasture,CultivationTamePasture,HF,ABMI-1178-NW_2017
ABMI-1178-SE,2017,CultivationTamePasture,CultivationTamePasture,HF,ABMI-1178-SE_2017
ABMI-1178-SW,2017,CultivationRoughPasture,CultivationRoughPasture,HF,ABMI-1178-SW_2017
ABMI-1179-NE,2017,CultivationTamePasture,CultivationTamePasture,HF,ABMI-1179-NE_2017
ABMI-1179-NW,2017,Decid5,,Decid,ABMI-1179-NW_2017
ABMI-1179-SE,2017,CultivationCrop,CultivationCrop,HF,ABMI-1179-SE_2017
ABMI-1179-SW,2017,CultivationTamePasture,CultivationTamePasture,HF,ABMI-1179-SW_2017
ABMI-1180-NE,2017,Mixedwood6,Sb,Decid,ABMI-1180-NE_2017
ABMI-1180-NW,2017,RuralResidentialIndustrial,RuralResidentialIndustrial,HF,ABMI-1180-NW_2017
ABMI-1180-SW,2017,Marsh,Sb,WetGrass,ABMI-1180-SW_2017
ABMI-1181-NE,2018,CultivationTamePasture,CultivationTamePasture,HF,ABMI-1181-NE_2018
ABMI-1181-NW,2018,CultivationTamePasture,CultivationTamePasture,HF,ABMI-1181-NW_2018
ABMI-1181-SE,2018,GrassHerb,,Grass,ABMI-1181-SE_2018
ABMI-1181-SW,2018,CultivationTamePasture,CultivationTamePasture,HF,ABMI-1181-SW_2018
ABMI-1182-NE,2018,CultivationRoughPasture,CultivationRoughPasture,HF,ABMI-1182-NE_2018
ABMI-1182-NW,2018,CultivationCrop,CultivationCrop,HF,ABMI-1182-NW_2018
ABMI-1182-SE,2018,Marsh,,WetGrass,ABMI-1182-SE_2018
ABMI-1182-SW,2018,CultivationTamePasture,CultivationTamePasture,HF,ABMI-1182-SW_2018
ABMI-1183-NE,2018,CultivationCrop,CultivationCrop,HF,ABMI-1183-NE_2018
ABMI-1183-NW,2018,CultivationCrop,CultivationCrop,HF,ABMI-1183-NW_2018
ABMI-1183-SE,2018,Marsh,,WetGrass,ABMI-1183-SE_2018
ABMI-1183-SW,2018,CultivationCrop,CultivationCrop,HF,ABMI-1183-SW_2018
ABMI-1190-NE,2015,GrassHerb,Sa,Grass,ABMI-1190-NE_2015
ABMI-1190-NW,2015,GrassHerb,TB,Grass,ABMI-1190-NW_2015
ABMI-1190-SE,2015,Shrub,Lo,Decid,ABMI-1190-SE_2015
ABMI-1190-SW,2015,GrassHerb,Lo,Grass,ABMI-1190-SW_2015
ABMI-1191-NE,2015,Shrub,Sa,Shrub,ABMI-1191-NE_2015
ABMI-1191-NW,2015,Shrub,CS,Shrub,ABMI-1191-NW_2015
ABMI-1191-SE,2015,Shrub,CS,Shrub,ABMI-1191-SE_2015
ABMI-1191-SW,2015,Shrub,CS,Shrub,ABMI-1191-SW_2015
ABMI-1192B-NE,2015,GrassHerb,Sa,Grass,ABMI-1192B-NE_2015
ABMI-1192B-NW,2015,Decid4,Sa,Decid,ABMI-1192B-NW_2015
ABMI-1192B-SE,2015,GrassHerb,Sa,Grass,ABMI-1192B-SE_2015
ABMI-1192B-SW,2015,Decid4,Sa,Decid,ABMI-1192B-SW_2015
ABMI-1193-NE,2017,CultivationCrop,CultivationCrop,HF,ABMI-1193-NE_2017
ABMI-1193-NW,2017,CultivationCrop,CultivationCrop,HF,ABMI-1193-NW_2017
ABMI-1193-SE,2017,GrassHerb,Sy,Grass,ABMI-1193-SE_2017
ABMI-1193-SW,2017,GrassHerb,UNK,Grass,ABMI-1193-SW_2017
ABMI-1194-NE,2017,GraminoidFen,LenW,WetGrass,ABMI-1194-NE_2017
ABMI-1194-NW,2017,CultivationTamePasture,CultivationTamePasture,HF,ABMI-1194-NW_2017
ABMI-1194-SE,2017,CultivationTamePasture,CultivationTamePasture,HF,ABMI-1194-SE_2017
ABMI-1194-SW,2017,CultivationTamePasture,CultivationTamePasture,HF,ABMI-1194-SW_2017
ABMI-1198-NE,2018,Spruce3,,Conif,ABMI-1198-NE_2018
ABMI-1198-NW,2018,Shrub,,Shrub,ABMI-1198-NW_2018
ABMI-1198-SE,2018,ShrubbySwamp,,Shrub,ABMI-1198-SE_2018
ABMI-1199-NE,2018,Spruce5,,Conif,ABMI-1199-NE_2018
ABMI-1199-NW,2018,Spruce8,,Conif,ABMI-1199-NW_2018
ABMI-1199-SE,2018,Spruce8,,Conif,ABMI-1199-SE_2018
ABMI-1199-SW,2018,Spruce8,,Conif,ABMI-1199-SW_2018
ABMI-1200-NE,2018,Spruce5,,Conif,ABMI-1200-NE_2018
ABMI-1200-NW,2018,Spruce4,,Conif,ABMI-1200-NW_2018
ABMI-1200-SE,2018,Spruce5,,Conif,ABMI-1200-SE_2018
ABMI-1200-SW,2018,Spruce8,,Conif,ABMI-1200-SW_2018
ABMI-120-NE,2016,Pine4,,Conif,ABMI-120-NE_2016
ABMI-120-NW,2016,GraminoidFen,,WetGrass,ABMI-120-NW_2016
ABMI-120-SE,2016,Pine4,,Conif,ABMI-120-SE_2016
ABMI-120-SW,2016,Pine4,,Conif,ABMI-120-SW_2016
ABMI-1210-NE,2017,ShrubbySwamp,Len,Shrub,ABMI-1210-NE_2017
ABMI-1210-NW,2017,Marsh,,WetGrass,ABMI-1210-NW_2017
ABMI-1210-SE,2017,TreedSwamp4,Len,WetTreed,ABMI-1210-SE_2017
ABMI-1210-SW,2017,Mixedwood7,,Decid,ABMI-1210-SW_2017
ABMI-1211-NE,2017,CultivationRoughPasture,CultivationRoughPasture,HF,ABMI-1211-NE_2017
ABMI-1211-NW,2017,CultivationTamePasture,CultivationTamePasture,HF,ABMI-1211-NW_2017
ABMI-1211-SE,2017,Decid3,,Decid,ABMI-1211-SE_2017
ABMI-1211-SW,2017,CultivationTamePasture,CultivationTamePasture,HF,ABMI-1211-SW_2017
ABMI-1212-NE,2017,Shrub,Len,Shrub,ABMI-1212-NE_2017
ABMI-1212-NW,2017,Shrub,,Shrub,ABMI-1212-NW_2017
ABMI-1212-SE,2017,TreedFen5,Len,WetTreed,ABMI-1212-SE_2017
ABMI-1212-SW,2017,CultivationRoughPasture,CultivationRoughPasture,HF,ABMI-1212-SW_2017
ABMI-1213-NE,2018,GrassHerb,,Grass,ABMI-1213-NE_2018
ABMI-1213-NW,2018,GrassHerb,,Grass,ABMI-1213-NW_2018
ABMI-1213-SE,2018,GrassHerb,,Grass,ABMI-1213-SE_2018
ABMI-1213-SW,2018,GrassHerb,,Grass,ABMI-1213-SW_2018
ABMI-1214-NE,2018,CultivationRoughPasture,CultivationRoughPasture,HF,ABMI-1214-NE_2018
ABMI-1214-NW,2018,Decid5,,Decid,ABMI-1214-NW_2018
ABMI-1214-SE,2018,CultivationRoughPasture,CultivationRoughPasture,HF,ABMI-1214-SE_2018
ABMI-1214-SW,2018,CultivationCrop,CultivationCrop,HF,ABMI-1214-SW_2018
ABMI-1215-NE,2018,RoadTrailVegetated,RoadTrailVegetated,HF,ABMI-1215-NE_2018
ABMI-1215-NW,2018,CultivationCrop,CultivationCrop,HF,ABMI-1215-NW_2018
ABMI-1215-SE,2018,Marsh,,WetGrass,ABMI-1215-SE_2018
ABMI-1215-SW,2018,Shrub,,Shrub,ABMI-1215-SW_2018
ABMI-121-NE,2016,Spruce4,,Conif,ABMI-121-NE_2016
ABMI-121-NW,2016,Spruce7,,Conif,ABMI-121-NW_2016
ABMI-121-SE,2016,TreedSwamp7,,WetTreed,ABMI-121-SE_2016
ABMI-121-SW,2016,TreedSwamp3,,WetTreed,ABMI-121-SW_2016
ABMI-1222-NE,2015,GrassHerb,Lo,Grass,ABMI-1222-NE_2015
ABMI-1222-NW,2015,GrassHerb,Lo,Grass,ABMI-1222-NW_2015
ABMI-1222-SE,2015,CultivationTamePasture,CultivationTamePasture,HF,ABMI-1222-SE_2015
ABMI-1222-SW,2015,GrassHerb,Lo,Grass,ABMI-1222-SW_2015
ABMI-1223-NE,2015,CultivationRoughPasture,CultivationRoughPasture,HF,ABMI-1223-NE_2015
ABMI-1223-NW,2015,CultivationTamePasture,CultivationTamePasture,HF,ABMI-1223-NW_2015
ABMI-1223-SE,2015,CultivationCrop,CultivationCrop,HF,ABMI-1223-SE_2015
ABMI-1223-SW,2015,Marsh,Sy,Decid,ABMI-1223-SW_2015
ABMI-1224-NE,2015,Decid8,Sa,Decid,ABMI-1224-NE_2015
ABMI-1224-NW,2015,CultivationRoughPasture,CultivationRoughPasture,HF,ABMI-1224-NW_2015
ABMI-1224-SE,2015,CultivationTamePasture,CultivationTamePasture,HF,ABMI-1224-SE_2015
ABMI-1224-SW,2015,CultivationTamePasture,CultivationTamePasture,HF,ABMI-1224-SW_2015
ABMI-1225-NE,2017,CultivationCrop,CultivationCrop,HF,ABMI-1225-NE_2017
ABMI-1225-NW,2017,WellSite,WellSite,HF,ABMI-1225-NW_2017
ABMI-1225-SE,2017,CultivationCrop,CultivationCrop,HF,ABMI-1225-SE_2017
ABMI-1225-SW,2017,WellSite,WellSite,HF,ABMI-1225-SW_2017
ABMI-1226-NE,2017,CultivationCrop,CultivationCrop,HF,ABMI-1226-NE_2017
ABMI-1226-NW,2017,Shrub,Lo,Shrub,ABMI-1226-NW_2017
ABMI-1226-SE,2017,GrassHerb,Lo,Grass,ABMI-1226-SE_2017
ABMI-1226-SW,2017,CultivationCrop,CultivationCrop,HF,ABMI-1226-SW_2017
ABMI-1228-NE,2018,Shrub,,Shrub,ABMI-1228-NE_2018
ABMI-1228-NW,2018,GrassHerb,,Grass,ABMI-1228-NW_2018
ABMI-1228-SE,2018,Shrub,,Shrub,ABMI-1228-SE_2018
ABMI-1228-SW,2018,Bare,,Grass,ABMI-1228-SW_2018
ABMI-1229-NE,2018,Shrub,,Shrub,ABMI-1229-NE_2018
ABMI-1229-NW,2018,Shrub,,Shrub,ABMI-1229-NW_2018
ABMI-1229-SE,2018,Pine2,,Conif,ABMI-1229-SE_2018
ABMI-1229-SW,2018,Spruce8,,Conif,ABMI-1229-SW_2018
ABMI-122-NE,2016,TreedSwamp2,,WetTreed,ABMI-122-NE_2016
ABMI-122-NW,2016,Spruce7,,Conif,ABMI-122-NW_2016
ABMI-122-SE,2016,Spruce6,,Conif,ABMI-122-SE_2016
ABMI-122-SW,2016,Spruce6,,Conif,ABMI-122-SW_2016
ABMI-1230-NE,2018,Pine1,,Conif,ABMI-1230-NE_2018
ABMI-1230-NW,2018,TreedBog1,,WetTreed,ABMI-1230-NW_2018
ABMI-1230-SE,2018,Pine1,,Conif,ABMI-1230-SE_2018
ABMI-1230-SW,2018,Pine1,,Conif,ABMI-1230-SW_2018
ABMI-1240-NE,2017,TreedBog4,,WetTreed,ABMI-1240-NE_2017
ABMI-1240-NW,2017,TreedBog6,,WetTreed,ABMI-1240-NW_2017
ABMI-1240-SE,2017,TreedFen4,,WetTreed,ABMI-1240-SE_2017
ABMI-1240-SW,2017,TreedFen6,,WetTreed,ABMI-1240-SW_2017
ABMI-1241-NE,2017,Spruce4,Lo,Conif,ABMI-1241-NE_2017
ABMI-1241-NW,2017,ShrubbySwamp,Len,Shrub,ABMI-1241-NW_2017
ABMI-1241-SE,2017,CCSpruceR,CutBlocks,HF,ABMI-1241-SE_2017
ABMI-1241-SW,2017,CultivationTamePasture,CultivationTamePasture,HF,ABMI-1241-SW_2017
ABMI-1242-NE,2017,CultivationTamePasture,CultivationTamePasture,HF,ABMI-1242-NE_2017
ABMI-1242-NW,2017,WellSite,WellSite,HF,ABMI-1242-NW_2017
ABMI-1242-SE,2017,CultivationCrop,CultivationCrop,HF,ABMI-1242-SE_2017
ABMI-1242-SE-b,2017,CultivationCrop,CultivationCrop,HF,ABMI-1242-SE-b_2017
ABMI-1242-SW,2017,CultivationCrop,CultivationCrop,HF,ABMI-1242-SW_2017
ABMI-1243-NE,2018,CultivationTamePasture,CultivationTamePasture,HF,ABMI-1243-NE_2018
ABMI-1243-NW,2018,Marsh,,WetGrass,ABMI-1243-NW_2018
ABMI-1243-SE,2018,CultivationRoughPasture,CultivationRoughPasture,HF,ABMI-1243-SE_2018
ABMI-1243-SW,2018,Water,Water,Water,ABMI-1243-SW_2018
ABMI-1244-NE,2018,CultivationRoughPasture,CultivationRoughPasture,HF,ABMI-1244-NE_2018
ABMI-1244-NW,2018,CultivationCrop,CultivationCrop,HF,ABMI-1244-NW_2018
ABMI-1244-SE,2018,CultivationTamePasture,CultivationTamePasture,HF,ABMI-1244-SE_2018
ABMI-1244-SW,2018,CultivationCrop,CultivationCrop,HF,ABMI-1244-SW_2018
ABMI-1245-NE,2018,CultivationRoughPasture,CultivationRoughPasture,HF,ABMI-1245-NE_2018
ABMI-1245-NW,2018,CultivationRoughPasture,CultivationRoughPasture,HF,ABMI-1245-NW_2018
ABMI-1245-SE,2018,Marsh,,WetGrass,ABMI-1245-SE_2018
ABMI-1245-SW,2018,CultivationCrop,CultivationCrop,HF,ABMI-1245-SW_2018
ABMI-1252-NE,2015,CultivationCrop,CultivationCrop,HF,ABMI-1252-NE_2015
ABMI-1252-NW,2015,CultivationCrop,CultivationCrop,HF,ABMI-1252-NW_2015
ABMI-1252-SE,2015,CultivationCrop,CultivationCrop,HF,ABMI-1252-SE_2015
ABMI-1252-SW,2015,CultivationCrop,CultivationCrop,HF,ABMI-1252-SW_2015
ABMI-1253-NE,2015,GrassHerb,Lo,Grass,ABMI-1253-NE_2015
ABMI-1253-NW,2015,Shrub,UNK,HF,ABMI-1253-NW_2015
ABMI-1253-SE,2015,CultivationTamePasture,CultivationTamePasture,HF,ABMI-1253-SE_2015
ABMI-1253-SW,2015,CultivationTamePasture,CultivationTamePasture,HF,ABMI-1253-SW_2015
ABMI-1254-NE,2015,GrassHerb,Sa,Grass,ABMI-1254-NE_2015
ABMI-1254-NW,2015,GrassHerb,Sa,Grass,ABMI-1254-NW_2015
ABMI-1254-SE,2015,Water,Water,Water,ABMI-1254-SE_2015
ABMI-1254-SW,2015,GrassHerb,Sa,Grass,ABMI-1254-SW_2015
ABMI-1255-NE,2017,GrassHerb,Sa,Grass,ABMI-1255-NE_2017
ABMI-1255-NW,2017,Decid9,Sa,Decid,ABMI-1255-NW_2017
ABMI-1255-SE,2017,Decid9,Sa,Decid,ABMI-1255-SE_2017
ABMI-1255-SW,2017,Decid9,Sa,Decid,ABMI-1255-SW_2017
ABMI-1256-NE,2017,CultivationCrop,CultivationCrop,HF,ABMI-1256-NE_2017
ABMI-1256-NW,2017,CultivationCrop,CultivationCrop,HF,ABMI-1256-NW_2017
ABMI-1256-SE,2017,CultivationCrop,CultivationCrop,HF,ABMI-1256-SE_2017
ABMI-1256-SW,2017,CultivationCrop,CultivationCrop,HF,ABMI-1256-SW_2017
ABMI-1263-NE,2017,Pine8,,Conif,ABMI-1263-NE_2017
ABMI-1263-NW,2017,Pine7,,Conif,ABMI-1263-NW_2017
ABMI-1263-SE,2017,Pine7,,Conif,ABMI-1263-SE_2017
ABMI-1263-SW,2017,Pine7,,Conif,ABMI-1263-SW_2017
ABMI-1264-NE,2017,Pine7,,Conif,ABMI-1264-NE_2017
ABMI-1264-NW,2017,Spruce7,,Conif,ABMI-1264-NW_2017
ABMI-1264-SE,2017,Pine6,,Conif,ABMI-1264-SE_2017
ABMI-1264-SW,2017,Bare,,Grass,ABMI-1264-SW_2017
ABMI-1265-NE,2017,CCPine1,CutBlocks,HF,ABMI-1265-NE_2017
ABMI-1265-NW,2017,CCPine1,CutBlocks,HF,ABMI-1265-NW_2017
ABMI-1265-SE,2017,CCPine1,CutBlocks,HF,ABMI-1265-SE_2017
ABMI-1265-SW,2017,CCPine1,CutBlocks,HF,ABMI-1265-SW_2017
ABMI-1266-NE,2018,Pine6,,Conif,ABMI-1266-NE_2018
ABMI-1266-NW,2018,Pine6,,Conif,ABMI-1266-NW_2018
ABMI-1266-SE,2018,Pine7,,Conif,ABMI-1266-SE_2018
ABMI-1266-SW,2018,Spruce5,,Conif,ABMI-1266-SW_2018
ABMI-1267-NE,2018,RuralResidentialIndustrial,RuralResidentialIndustrial,HF,ABMI-1267-NE_2018
ABMI-1267-NW,2018,TreedFen7,,WetTreed,ABMI-1267-NW_2018
ABMI-1267-SE,2018,Pine7,,Conif,ABMI-1267-SE_2018
ABMI-1267-SW,2018,Pine7,,Conif,ABMI-1267-SW_2018
ABMI-1268-NE,2018,Pine7,,Conif,ABMI-1268-NE_2018
ABMI-1268-NW,2018,TreedFen7,,WetTreed,ABMI-1268-NW_2018
ABMI-1268-SE,2018,TreedFen4,,WetTreed,ABMI-1268-SE_2018
ABMI-1268-SW,2018,CCPineR,CutBlocks,HF,ABMI-1268-SW_2018
ABMI-1275-NE,2015,CultivationCrop,CultivationCrop,HF,ABMI-1275-NE_2015
ABMI-1275-NW,2015,CultivationCrop,CultivationCrop,HF,ABMI-1275-NW_2015
ABMI-1275-SE,2015,Decid6,Sy,Decid,ABMI-1275-SE_2015
ABMI-1275-SW,2015,CultivationCrop,CultivationCrop,HF,ABMI-1275-SW_2015
ABMI-1276-NE,2015,CultivationCrop,CultivationCrop,HF,ABMI-1276-NE_2015
ABMI-1276-NW,2015,CultivationCrop,CultivationCrop,HF,ABMI-1276-NW_2015
ABMI-1276-SE,2015,CultivationCrop,CultivationCrop,HF,ABMI-1276-SE_2015
ABMI-1276-SW,2015,CultivationCrop,CultivationCrop,HF,ABMI-1276-SW_2015
ABMI-1277-NE,2015,CultivationCrop,CultivationCrop,HF,ABMI-1277-NE_2015
ABMI-1277-NW,2015,CultivationCrop,CultivationCrop,HF,ABMI-1277-NW_2015
ABMI-1277-SE,2015,GrassHerb,BlO,Grass,ABMI-1277-SE_2015
ABMI-1277-SW,2015,CultivationCrop,CultivationCrop,HF,ABMI-1277-SW_2015
ABMI-1278-NE,2017,CultivationTamePasture,CultivationTamePasture,HF,ABMI-1278-NE_2017
ABMI-1278-NW,2017,CultivationCrop,CultivationCrop,HF,ABMI-1278-NW_2017
ABMI-1278-SE,2017,CultivationCrop,CultivationCrop,HF,ABMI-1278-SE_2017
ABMI-1278-SW,2017,WellSite,WellSite,HF,ABMI-1278-SW_2017
ABMI-1279-NE,2017,GrassHerb,BlO,Grass,ABMI-1279-NE_2017
